Pair (Source -> Destination),Data Limit,Execution Time (seconds),Number of Results
ATL → CLD,1000,0.7122159004211426,0
BOS → HOU,1000,2.5455899238586426,1
ATL → AUS,1000,0.8702390193939209,0
SBN → ISP,1000,1.2587027549743652,0
ATL → CLD,2000,6.58384895324707,0
BOS → HOU,2000,17.299648761749268,1
ATL → AUS,2000,7.067924976348877,1
SBN → ISP,2000,7.261178016662598,0
ATL → CLD,3000,30.315797090530396,0
BOS → HOU,3000,60.480947971343994,1
ATL → AUS,3000,32.07414793968201,1
SBN → ISP,3000,24.552666902542114,0
ATL → CLD,4000,158.78192281723022,1
BOS → HOU,4000,237.22290086746216,1
ATL → AUS,4000,168.5586760044098,1
SBN → ISP,4000,161.25617480278015,1
