Pair (Source -> Destination),Data Limit,Execution Time (seconds),Number of Results
ATL → CLD,1000,0.7430510520935059,0
BOS → HOU,1000,2.4553818702697754,1
ATL → AUS,1000,0.7872369289398193,0
SBN → ISP,1000,1.2782840728759766,0
ATL → CLD,2000,6.570446014404297,0
BOS → HOU,2000,12.64507508277893,1
ATL → AUS,2000,6.572058200836182,1
SBN → ISP,2000,6.962024927139282,0
ATL → CLD,3000,27.968297958374023,0
BOS → HOU,3000,39.361934185028076,1
ATL → AUS,3000,28.9415020942688,3
SBN → ISP,3000,24.868387699127197,0
ATL → CLD,4000,116.44549083709717,1
BOS → HOU,4000,109.12062191963196,1
ATL → AUS,4000,124.70687699317932,1
SBN → ISP,4000,162.08822393417358,2
