Pair (Source -> Destination),Data Limit,Execution Time (seconds),Number of Results
ATL → CLD,1000,0.8361921310424805,0
BOS → HOU,1000,2.5207102298736572,1
ATL → AUS,1000,0.6788229942321777,0
SBN → ISP,1000,1.3730008602142334,0
ATL → CLD,2000,6.581547975540161,0
BOS → HOU,2000,17.646368980407715,1
ATL → AUS,2000,6.6735687255859375,1
SBN → ISP,2000,6.829829931259155,0
ATL → CLD,3000,29.578081130981445,0
BOS → HOU,3000,61.43186712265015,1
ATL → AUS,3000,35.348904848098755,2
SBN → ISP,3000,27.143983125686646,0
ATL → CLD,4000,138.50898504257202,1
BOS → HOU,4000,235.5223569869995,1
ATL → AUS,4000,163.46786403656006,1
SBN → ISP,4000,146.21569991111755,2
